Location,Year,Records,Status,File
Dhaka,2019,17520,Success,Dhaka_2019_30min.csv
Dhaka,2020,17568,Success,Dhaka_2020_30min.csv
Dhaka,2021,17520,Success,Dhaka_2021_30min.csv
Dhaka,2022,17520,Success,Dhaka_2022_30min.csv
Dhaka,2023,17520,Success,Dhaka_2023_30min.csv
Chittagong,2019,17520,Success,Chittagong_2019_30min.csv
Chittagong,2020,17568,Success,Chittagong_2020_30min.csv
Chittagong,2021,17520,Success,Chittagong_2021_30min.csv
Chittagong,2022,17520,Success,Chittagong_2022_30min.csv
Chittagong,2023,17520,Success,Chittagong_2023_30min.csv
